ANO_ESCOLAR	RBD	NOMBRE_ESTA	TIPO_DEPENDENCIA	RURAL_ESTAB	CP_REGION	NOM_REGION	COD_COMUNA	NOM_COMUNA	TOTAL_MATRICULA	TOTAL_DOCENTES	TOTAL_ASISTENTES
2013	2209	COLEGIO ANTONIO TRDAN ARKO	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	305	18	16
2013	2210	ESCUELA MUNICIPAL VILLA LA COMPANIA	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	324	18	11
2013	2198	COLEGIO LA MERCED	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	66	13	5
2013	2200	INSTITUTO O`HIGGINS	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	2011	96	72
2013	2205	LICEO PROFESOR MISAEL LOBOS MONROY	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	435	26	9
2013	2206	ESCUELA SIXTO MENDEZ PARADA	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	481	24	14
2013	2207	ESCUELA HERNAN OLGUIN MAYBE	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	726	27	15
2013	2220	COLEGIO PARTICULAR SAN MARTIN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	90	13	4
2013	2222	LICEO ALBERTO HURTADO	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	512	27	14
2013	2223	COLEGIO ANDRES BELLO	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	620	35	19
2013	2224	LICEO ELVIRA SANCHEZ DE GARCES	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	405	33	16
2013	2226	ESC. HIJOS DEL SOL	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	199	15	10
2013	2227	ESC. SAN FRANCISCO DE ASIS	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	157	15	8
2013	2212	ESCUELA MUNICIPAL DE TUNICHE	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	165	12	5
2013	2215	ESCUELA MUNICIPAL DE LAS HIGUERAS	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	0	0	1
2013	2217	COLEGIO PARTICULAR NUESTRA SENORA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	611	34	29
2013	2218	COLEGIO PARTICULAR GRANEROS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	946	44	20
2013	2219	ESCUELA AGRICOLA CRISTO OBRERO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	324	23	16
2013	2235	COLEGIO MARIANO LATORRE	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6102	CODEGUA                                           	96	10	8
2013	2236	ESCUELA EUGENIO GARCIA FERNANDEZ	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6102	CODEGUA                                           	78	9	8
2013	2237	COLEGIO MUNICIPAL DE CALLEJONES	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6102	CODEGUA                                           	48	8	6
2013	2238	COLEGIO SANTA TERESA DE TUNCA	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6102	CODEGUA                                           	49	8	3
2013	2240	COLEGIO MUNICIPAL CRISTO DEL PARQUE	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6102	CODEGUA                                           	137	14	13
2013	2243	COLEGIO NATALIA PERALTA P	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6102	CODEGUA                                           	31	5	7
2013	2228	ESCUELA EL RINCON	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	252	14	9
